Image Name,Comment,Is_English,Sentiment Score,Category
aespa1.txt,The pinterest girlies are back 😻,True,0.4588,Popular
aespa1.txt,giselle's mother🔥,True,-0.34,Unpopular
aespa1.txt,that hot girl is mine 🖤,True,0.6369,Popular
aespa1.txt,NINGNING stop it 😭🫠,True,-0.6486,Unpopular
aespa1.txt,Omg Winter I love you…,True,0.6369,Popular
aespa1.txt,Te amo winter ❤️❤️❤️❤️,True,0.0,Neutral
aespa1.txt,Winter my pick🔥🔥,True,-0.5859,Unpopular
aespa1.txt,Ningning so beautiful ❤️❤️🔥,True,0.4201,Popular
aespa1.txt,why do they have the 𝓯𝓻𝓮𝓪𝓴𝔂 font in their caption 😈,True,0.4588,Popular
aespa1.txt,What all of this 𝓯𝓻𝓮𝓪𝓴𝔂 font 🙏🙏👽👽👽👾,True,0.0,Neutral
aespa1.txt,winter❤️❤️,True,0.0,Neutral
aespa1.txt,can't stop staring at winter.,True,0.2235,Popular
aespa1.txt,the font is freaky..,True,-0.3612,Unpopular
aespa1.txt,Freaky font‼️🎀,True,-0.3612,Unpopular
aespa1.txt,why does giselle's outfit look simple comparing to other outfits again 😿,True,-0.4767,Unpopular
aespa1.txt,𝓯𝓻𝓮𝓪𝓴𝔂 ahh font 💀,True,0.0,Neutral
aespa1.txt,The love i have for them 😩,True,0.4767,Popular
aespa1.txt,the description with the freaky font 😝,True,-0.3612,Unpopular
aespa1.txt,omg Giselle so pretty💗💗💗 but why but why are his clothes always plain?,True,0.8929,Popular
aespa1.txt,freaky ahh font,True,-0.3612,Unpopular
aespa1.txt,HELP WHY THE 𝓯𝓻𝓮𝓪𝓴𝔂 FONT? 😭😭😭,True,-0.7066,Unpopular
aespa1.txt,looking super extra fine today 🔥,True,0.5106,Popular
aespa1.txt,Why did they use the 𝓯𝓻𝓮𝓪𝓴𝔂 font,True,0.0,Neutral
aespa1.txt,the 𝓯𝓸𝓷𝓽 😛,True,0.0,Neutral
aespa1.txt,Love you Karina Giselle Ningning Winter 😍❤️ absolutely gorgeous 😍❤️,True,0.941,Popular
aespa1.txt,NINGSELLE there to serve face 😭😍,True,-0.0258,Unpopular
aespa1.txt,GISELLE TE AMOOOOO 💗💗,True,0.8957,Popular
aespa1.txt,Freaky font,True,-0.3612,Unpopular
aespa1.txt,Winter is literally the prettiest omg-,True,0.5719,Popular
aespa1.txt,They're literally so beautiful,True,0.7177,Popular
aespa1.txt,why are they usnng the freak font,True,-0.4404,Unpopular
aespa1.txt,Does anyone know if the girlies are coming to NYC? 🥹🥹🥹,True,0.0,Neutral
aespa1.txt,winter❤️😍,True,0.4588,Popular
aespa1.txt,They are so prettu,True,0.0,Neutral
aespa1.txt,omg the 𝓯𝓻𝓮𝓪𝓴𝔂 font i love you girliess,True,0.6369,Popular
aespa1.txt,So pretty OT4 !! ❤️,True,0.6221,Popular
aespa1.txt,I’m visiting Seoul in july but how do I know the concerts available during July?,True,0.0,Neutral
aespa1.txt,THE FONTS,True,0.0,Neutral
aespa1.txt,"Has Ning Ning recovered?, because at k-wave yesterday Ning Ning was not present.",True,0.0,Neutral
aespa1.txt,CANTIK CANTIK BANGET 💗💗💗,True,0.9493,Popular
aespa1.txt,The massive 4 charisma amazing vocals and true passion for music that what makes aespa special 💗💗💗💗,True,0.9871,Popular
aespa1.txt,my gigi rocks every plain outfit like nobody could i love you aerii kisses🩷🩷🩷,True,0.7717,Popular
aespa1.txt,AERI's fit 😭😭💋,True,-0.2263,Unpopular
aespa1.txt,Crown this queens🔥,True,-0.34,Unpopular
aespa1.txt,Bro's using the 𝓯𝓻𝓮𝓪𝓴𝔂 font,True,0.0,Neutral
aespa1.txt,In love~~ 😍❤️🙌,True,0.802,Popular
aespa1.txt,wow ate them fits up so pretty,True,0.8367,Popular
aespa1.txt,winterr 🧎🏼‍♀️🔥,True,-0.34,Unpopular
aespa1.txt,💝🌹Simply Beautiful & Gorgeous- A World Class Act 🌹💝,True,0.9538,Popular
aespa1.txt,winter🤍,True,0.0,Neutral
aespa1.txt,they got the 𝓯𝓻𝓮𝓪𝓴𝔂 font,True,0.0,Neutral
aespa1.txt,not the freaky font😭😭😭,True,-0.8014,Unpopular
aespa1.txt,not the 𝓯𝓻𝓮𝓪𝓴𝔂 font,True,0.0,Neutral
aespa1.txt,I Love You Ningning ❤️❤️❤️❤️,True,0.6369,Popular
aespa1.txt,WHY THE FREAKY FONT,True,-0.3612,Unpopular
aespa1.txt,winter💗,True,0.7096,Popular
aespa1.txt,wow bgt cantiknya🔥😭🖤,True,0.5423,Popular
aespa1.txt,they look unreal 😫😫,True,-0.7003,Unpopular
aespa1.txt,Blonde Winter is life!,True,0.0,Neutral
aespa1.txt,Omg I was just there!!!!!!,True,0.0,Neutral
aespa1.txt,Giselle be my wife,True,0.0,Neutral
aespa1.txt,Giselle words can't express how much I'm in love with you. Everytime I see you my heart melts and skips a beat 💓,True,0.9607,Popular
aespa1.txt,𝓯𝓻𝓮𝓪𝓴𝔂 ahh font 😭😭,True,-0.7351,Unpopular
aespa1.txt,Why do they have the 𝓯𝓻𝓮𝓪𝓴𝔂 font tho 😭,True,-0.4767,Unpopular
aespa1.txt,why is aespa using the freak font..,True,-0.4404,Unpopular
aespa1.txt,THE FREAK FONT,True,-0.4404,Unpopular
aespa1.txt,I LOVE GISELLE'S OUTFIT OMGGG,True,0.6369,Popular
aespa1.txt,"Giselle wow, very beautiful 😍😍",True,0.9357,Popular
aespa1.txt,I like the photo and the outfit they wore,True,0.3612,Popular
aespa1.txt,Marry me ningning😭🖤,True,0.2732,Popular
aespa1.txt,what are THOSE fonts,True,0.0,Neutral
aespa1.txt,They got the 𝓯𝓻𝓮𝓪𝓴𝔂 font,True,0.0,Neutral
aespa1.txt,giselle on top 🖤🔥,True,0.5574,Popular
aespa1.txt,i thought that is blackpink 😞😞,True,-0.7351,Unpopular
aespa1.txt,oh my winter,True,0.0,Neutral
aespa1.txt,my girls always eat,True,0.0,Neutral
aespa1.txt,winter❤️,True,0.0,Neutral
aespa1.txt,Amo,True,0.0,Neutral
aespa1.txt,CANTIKK BGTTT🔥,True,-0.34,Unpopular
aespa1.txt,Armageddon shoot Armageddon,True,-0.34,Unpopular
aespa1.txt,I am so happy to see you every day😍,True,0.829,Popular
aespa1.txt,Please hold it in Japan too🙇‍♂️,True,0.3182,Popular
aespa1.txt,Look at these 4 visuals !!!!,True,0.0,Neutral
aespa1.txt,The gray is mine🩶🩶,True,0.0,Neutral
aespa1.txt,Make a trend with those pants Karina girl 🧡🔥,True,0.4215,Popular
aespa1.txt,JIR JIJEL CANTIK BGT COYYYY,True,0.0,Neutral
aespa1.txt,i love this song . really 👏 burn burn... 🔥🔥🔥 armageddon is a big war... 😂 yasshhhh,True,-0.4588,Unpopular
aespa1.txt,"ehehehehehehehehehehehehehloveumyhome, mysolace, myworld, mysafeplace, mybabies, mysurething, myuniverse ko 😝💐💐",True,0.0,Neutral
aespa1.txt,Giselle is definition of “THATS HOT” 🔥 menyala aeriku,True,-0.34,Unpopular
aespa1.txt,My Queens 🔥❤️,True,-0.34,Unpopular
